B_AB,B_R,B_H,B_AVG,B_RBI,B_BB,B_SO,B_SO/BB,B_SB,P_IP,P_H,P_Hed,P_R,P_ER,T_ERA,P_BB,P_SO,P_SO/BB,P_HR,P_#P,Result
37,8,12,0.324324324,8,2,3,1.5,0,10.0,14,0.378378378,6,6,0.6,5,5,1,2,8,win
36,7,12,0.333333333,7,2,6,3,1,9.0,12,0.333333333,6,6,0.666666667,1,8,8,4,5,win
34,6,10,0.294117647,6,3,3,1,2,9.0,6,0.176470588,3,3,0.333333333,4,14,3.5,1,5,win
43,9,14,0.325581395,9,7,8,1.142857143,1,8.0,18,0.418604651,14,14,1.75,9,9,1,2,8,win
35,8,12,0.342857143,8,6,9,1.5,0,9.0,8,0.228571429,5,5,0.555555556,2,6,3,0,4,win
36,3,12,0.333333333,3,2,9,4.5,2,8.1,9,0.25,4,3,0.49382716,4,4,1,0,7,lose
32,0,8,0.25,0,0,10,0,0,8.0,10,0.3125,5,5,0.625,0,6,0,0,5,lose
35,4,8,0.228571429,3,3,11,3.666666667,1,8.0,7,0.2,5,5,0.625,3,5,1.666666667,1,6,lose
29,1,5,0.172413793,1,1,2,2,0,8.0,3,0.103448276,2,2,0.25,6,7,1.166666667,0,7,lose
31,6,8,0.258064516,6,5,8,1.6,0,8.0,14,0.451612903,8,8,1,1,6,6,2,5,lose
32,1,5,0.15625,1,1,8,8,0,8.0,13,0.40625,9,9,1.125,3,7,2.333333333,2,6,lose
38,7,13,0.342105263,7,2,8,4,0,10.0,13,0.342105263,6,6,0.6,2,12,6,1,5,win
33,9,12,0.363636364,9,3,6,2,0,9.0,16,0.484848485,7,6,0.777777778,3,9,3,0,8,win
33,10,10,0.303030303,10,4,9,2.25,0,9.0,16,0.484848485,6,6,0.666666667,7,8,1.142857143,1,7,lose
36,4,11,0.305555556,4,2,5,2.5,0,9.0,14,0.388888889,6,6,0.666666667,2,15,7.5,1,6,lose
31,6,11,0.35483871,6,1,6,6,0,9.0,8,0.258064516,1,1,0.111111111,2,9,4.5,0,5,win
39,7,10,0.256410256,7,8,9,1.125,2,10.0,19,0.487179487,8,8,0.8,7,3,0.428571429,0,9,lose
33,4,11,0.333333333,4,1,4,4,1,9.0,3,0.090909091,0,0,0,1,10,10,0,6,win
34,10,13,0.382352941,10,3,8,2.666666667,0,9.0,10,0.294117647,6,5,0.666666667,1,9,9,2,3,lose
38,16,15,0.394736842,16,7,1,0.142857143,0,9.0,5,0.131578947,0,0,0,2,8,4,0,5,win
49,20,21,0.428571429,19,6,4,0.666666667,0,9.0,10,0.204081633,5,5,0.555555556,3,4,1.333333333,1,4,lose
35,5,8,0.228571429,5,7,8,1.142857143,1,8.0,17,0.485714286,12,11,1.5,0,8,0,4,6,win
31,2,4,0.129032258,2,2,8,4,1,8.0,9,0.290322581,7,4,0.875,3,9,3,3,3,lose
27,0,3,0.111111111,0,2,8,4,0,8.0,10,0.37037037,5,2,0.625,1,5,5,0,3,lose
37,9,13,0.351351351,7,3,8,2.666666667,3,9.0,16,0.432432432,4,4,0.444444444,6,8,1.333333333,1,5,win
37,6,12,0.324324324,6,2,3,1.5,1,9.0,8,0.216216216,1,0,0.111111111,2,9,4.5,0,5,win
34,4,9,0.264705882,4,2,8,4,1,8.0,15,0.441176471,10,9,1.25,2,8,4,1,4,win
34,12,15,0.441176471,10,2,4,2,0,9.0,8,0.235294118,6,3,0.666666667,3,10,3.333333333,1,5,lose
29,2,6,0.206896552,2,1,9,9,2,8.1,7,0.24137931,3,3,0.37037037,5,8,1.6,0,5,lose
30,5,8,0.266666667,5,0,7,0,1,9.0,3,0.1,0,0,0,1,7,7,0,3,win
33,8,11,0.333333333,7,5,4,0.8,0,9.0,5,0.151515152,1,1,0.111111111,2,6,3,0,4,win
34,1,10,0.294117647,1,0,3,0,0,9.0,15,0.441176471,8,6,0.888888889,5,3,0.6,1,7,lose
29,5,7,0.24137931,5,2,7,3.5,0,9.0,11,0.379310345,2,1,0.222222222,2,9,4.5,0,3,win
36,7,13,0.361111111,7,2,11,5.5,1,9.0,12,0.333333333,4,4,0.444444444,1,8,8,2,5,win
41,1,14,0.341463415,1,3,8,2.666666667,0,8.0,11,0.268292683,5,2,0.625,3,7,2.333333333,1,4,lose
38,8,13,0.342105263,7,2,5,2.5,3,9.0,7,0.184210526,7,5,0.777777778,3,5,1.666666667,0,6,win
36,9,9,0.25,8,7,7,1,3,9.0,8,0.222222222,4,4,0.444444444,1,7,7,1,4,win
33,8,11,0.333333333,8,3,8,2.666666667,0,9.0,10,0.303030303,3,3,0.333333333,4,8,2,0,6,win
30,6,7,0.233333333,5,6,9,1.5,0,9.0,10,0.333333333,4,3,0.444444444,2,8,4,0,6,win
34,11,11,0.323529412,11,4,9,2.25,0,9.0,12,0.352941176,3,3,0.333333333,4,8,2,1,6,lose
34,9,11,0.323529412,9,2,9,4.5,0,9.0,10,0.294117647,1,1,0.111111111,3,6,2,0,4,win
31,1,6,0.193548387,1,6,12,2,0,9.0,10,0.322580645,2,2,0.222222222,1,9,9,0,6,lose
36,7,11,0.305555556,6,1,6,6,0,9.0,6,0.166666667,0,0,0,6,10,1.666666667,0,6,win
29,2,6,0.206896552,2,4,10,2.5,0,8.0,9,0.310344828,4,4,0.5,3,8,2.666666667,1,7,lose
31,4,8,0.258064516,4,0,8,0,0,9.0,6,0.193548387,2,2,0.222222222,0,4,0,1,4,win
35,4,10,0.285714286,3,2,8,4,2,8.0,8,0.228571429,5,2,0.625,5,6,1.2,0,5,lose
35,3,8,0.228571429,3,3,5,1.666666667,0,8.0,8,0.228571429,5,2,0.625,2,6,3,0,4,lose
41,15,14,0.341463415,15,3,8,2.666666667,0,9.0,19,0.463414634,14,14,1.555555556,4,1,0.25,3,8,win
35,5,9,0.257142857,5,5,9,1.8,0,9.0,5,0.142857143,3,3,0.333333333,3,8,2.666666667,1,6,win
34,1,12,0.352941176,1,2,7,3.5,0,9.0,13,0.382352941,2,2,0.222222222,4,9,2.25,0,5,lose
37,11,15,0.405405405,11,2,11,5.5,0,9.0,8,0.216216216,3,3,0.333333333,2,12,6,0,4,lose
43,8,16,0.372093023,7,3,7,2.333333333,0,9.0,16,0.372093023,11,11,1.222222222,5,15,3,0,7,win
36,9,14,0.388888889,8,3,7,2.333333333,0,9.0,7,0.194444444,2,1,0.222222222,4,4,1,0,5,win
34,9,10,0.294117647,9,4,2,0.5,0,9.0,9,0.264705882,3,2,0.333333333,3,4,1.333333333,1,5,win
42,16,15,0.357142857,16,6,6,1,0,9.0,9,0.214285714,2,2,0.222222222,2,9,4.5,1,4,lose
37,10,13,0.351351351,7,5,6,1.2,0,8.2,11,0.297297297,11,5,1.341463415,9,7,0.777777778,1,9,lose
37,3,7,0.189189189,2,1,10,10,2,10.0,11,0.297297297,2,2,0.2,2,7,3.5,1,7,win
33,4,9,0.272727273,4,1,7,7,0,9.0,8,0.242424242,3,3,0.333333333,5,10,2,0,7,win
30,3,4,0.133333333,3,1,10,10,0,9.0,7,0.233333333,1,1,0.111111111,1,7,7,1,6,win
34,4,9,0.264705882,4,0,9,0,0,8.0,14,0.411764706,15,15,1.875,5,4,0.8,7,7,win
38,14,12,0.315789474,14,5,5,1,0,9.0,12,0.315789474,5,5,0.555555556,0,10,0,1,7,lose
36,4,10,0.277777778,4,3,8,2.666666667,0,8.0,10,0.277777778,6,6,0.75,3,5,1.666666667,3,5,lose
35,7,13,0.371428571,5,1,4,4,2,9.0,5,0.142857143,1,1,0.111111111,3,10,3.333333333,0,6,win
35,8,9,0.257142857,8,3,7,2.333333333,1,9.0,16,0.457142857,12,10,1.333333333,1,6,6,2,6,win
30,2,5,0.166666667,2,1,11,11,1,9.0,8,0.266666667,1,1,0.111111111,5,11,2.2,0,5,win
29,5,8,0.275862069,5,3,3,1,0,9.0,6,0.206896552,2,2,0.222222222,3,8,2.666666667,0,3,win
27,1,5,0.185185185,1,1,9,9,1,9.0,9,0.333333333,2,2,0.222222222,3,10,3.333333333,1,7,lose
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
